Prof. Stefan Keller|https://pretalx.com/fossgis2021/speaker/EM9MWR/|./loc/img/skeller.jpg|Lokal Team   
Katja Haferkorn||./loc/img/hafi.jpg|Koordination Konferenzorganisation    
Astrid Emde|https://www.osgeo.org/member/astrid-emde/|./loc/img/aemde.jpg|Leitung Programm-Komitee, Presse   
Michael Reichert|||Programm-Komitee     
Christopher Lorenz||./loc/img/christopher.jpg|Programm-Komitee     
Johannes Kröger|https://hannes.enjoys.it/blog/|./loc/img/hannes.jpg|Programm-Komitee     
Torsten Brassat|https://www.terrestris.de/|./loc/img/Torsten_Brassat.jpg|Programm-Komitee     
Ulrike Assmann||./loc/img/uassmann.jpg|Programm-Komitee     
Jakob Miksch|https://jakobmiksch.eu/|./loc/img/jakob_miksch.jpg|Programm-Komitee     
Christian Strobl|||Programm-Komitee     
Emmanuel Belo |||Programm-Komitee    
Falk Zscheile|||Programm-Komitee, Rechtliches    
Jörg Thomsen|https://www.osgeo.org/member/thomsen/|./loc/img/thomsenj.jpeg|Tagungsband     
Marc Gehling|||Anmeldesystem, Helfersystem    
Volker Mische|||Technik     
"Lars " Lingner|||Workshoporganisation     
Dominik Helle|||Website     
C3VOC|https://c3voc.de/|./loc/img/voc_square.png|Videoaufzeichnung durch das großartige Team vom C3VOC
